"GEOCODE","var_pl94_use","count"
"440070001013017","tot_a0p",38
"440070001013017","tot_a0p_r1_all",38
"440070001013017","tot_a0p_r1_w",0
"440070001013017","tot_a0p_r1_b",37
"440070001013017","tot_a0p_r1_na",0
"440070001013017","tot_a0p_r1_a",1
"440070001013017","tot_a0p_r1_pi",0
"440070001013017","tot_a0p_r1_o",0
"440070001013017","tot_a0p_r2p_all",0
"440070001013017","tot_a0p_hl_yn",38
"440070001013017","tot_a0p_hl_y",0
"440070001013017","tot_a0p_hl_n",38
"440070001013017","tot_a0p_r1p_all_hl_n",38
"440070001013017","tot_a0p_r1_w_hl_n",0
"440070001013017","tot_a0p_r1_b_hl_n",37
"440070001013017","tot_a0p_r1_na_hl_n",0
"440070001013017","tot_a0p_r1_a_hl_n",1
"440070001013017","tot_a0p_r1_pi_hl_n",0
"440070001013017","tot_a0p_r1_o_hl_n",0
"440070001013017","tot_a0p_r2p_all_hl_n",0
"440070001013017","tot_a18p",1
"440070001013017","tot_a18p_r1_all",1
"440070001013017","tot_a18p_r1_w",0
"440070001013017","tot_a18p_r1_b",0
"440070001013017","tot_a18p_r1_na",0
"440070001013017","tot_a18p_r1_a",1
"440070001013017","tot_a18p_r1_pi",0
"440070001013017","tot_a18p_r1_o",0
"440070001013017","tot_a18p_r2p_all",0
"440070001013017","tot_a18p_hl_yn",1
"440070001013017","tot_a18p_hl_y",0
"440070001013017","tot_a18p_hl_n",1
"440070001013017","tot_a18p_r1p_all_hl_n",1
"440070001013017","tot_a18p_r1_w_hl_n",0
"440070001013017","tot_a18p_r1_b_hl_n",0
"440070001013017","tot_a18p_r1_na_hl_n",0
"440070001013017","tot_a18p_r1_a_hl_n",1
"440070001013017","tot_a18p_r1_pi_hl_n",0
"440070001013017","tot_a18p_r1_o_hl_n",0
"440070001013017","tot_a18p_r2p_all_hl_n",0
"440070001013007","tot_a0p",0
"440070001013007","tot_a0p_r1_all",0
"440070001013007","tot_a0p_r1_w",0
"440070001013007","tot_a0p_r1_b",0
"440070001013007","tot_a0p_r1_na",0
"440070001013007","tot_a0p_r1_a",0
"440070001013007","tot_a0p_r1_pi",0
"440070001013007","tot_a0p_r1_o",0
"440070001013007","tot_a0p_r2p_all",0
"440070001013007","tot_a0p_hl_yn",0
"440070001013007","tot_a0p_hl_y",0
"440070001013007","tot_a0p_hl_n",0
"440070001013007","tot_a0p_r1p_all_hl_n",0
"440070001013007","tot_a0p_r1_w_hl_n",0
"440070001013007","tot_a0p_r1_b_hl_n",0
"440070001013007","tot_a0p_r1_na_hl_n",0
"440070001013007","tot_a0p_r1_a_hl_n",0
"440070001013007","tot_a0p_r1_pi_hl_n",0
"440070001013007","tot_a0p_r1_o_hl_n",0
"440070001013007","tot_a0p_r2p_all_hl_n",0
"440070001013007","tot_a18p",0
"440070001013007","tot_a18p_r1_all",0
"440070001013007","tot_a18p_r1_w",0
"440070001013007","tot_a18p_r1_b",0
"440070001013007","tot_a18p_r1_na",0
"440070001013007","tot_a18p_r1_a",0
"440070001013007","tot_a18p_r1_pi",0
"440070001013007","tot_a18p_r1_o",0
"440070001013007","tot_a18p_r2p_all",0
"440070001013007","tot_a18p_hl_yn",0
"440070001013007","tot_a18p_hl_y",0
"440070001013007","tot_a18p_hl_n",0
"440070001013007","tot_a18p_r1p_all_hl_n",0
"440070001013007","tot_a18p_r1_w_hl_n",0
"440070001013007","tot_a18p_r1_b_hl_n",0
"440070001013007","tot_a18p_r1_na_hl_n",0
"440070001013007","tot_a18p_r1_a_hl_n",0
"440070001013007","tot_a18p_r1_pi_hl_n",0
"440070001013007","tot_a18p_r1_o_hl_n",0
"440070001013007","tot_a18p_r2p_all_hl_n",0
"440070001014001","tot_a0p",0
"440070001014001","tot_a0p_r1_all",0
"440070001014001","tot_a0p_r1_w",0
"440070001014001","tot_a0p_r1_b",0
"440070001014001","tot_a0p_r1_na",0
"440070001014001","tot_a0p_r1_a",0
"440070001014001","tot_a0p_r1_pi",0
"440070001014001","tot_a0p_r1_o",0
"440070001014001","tot_a0p_r2p_all",0
"440070001014001","tot_a0p_hl_yn",0
"440070001014001","tot_a0p_hl_y",0
"440070001014001","tot_a0p_hl_n",0
"440070001014001","tot_a0p_r1p_all_hl_n",0
"440070001014001","tot_a0p_r1_w_hl_n",0
"440070001014001","tot_a0p_r1_b_hl_n",0
"440070001014001","tot_a0p_r1_na_hl_n",0
"440070001014001","tot_a0p_r1_a_hl_n",0
"440070001014001","tot_a0p_r1_pi_hl_n",0
"440070001014001","tot_a0p_r1_o_hl_n",0
"440070001014001","tot_a0p_r2p_all_hl_n",0
"440070001014001","tot_a18p",0
"440070001014001","tot_a18p_r1_all",0
"440070001014001","tot_a18p_r1_w",0
"440070001014001","tot_a18p_r1_b",0
"440070001014001","tot_a18p_r1_na",0
"440070001014001","tot_a18p_r1_a",0
"440070001014001","tot_a18p_r1_pi",0
"440070001014001","tot_a18p_r1_o",0
"440070001014001","tot_a18p_r2p_all",0
"440070001014001","tot_a18p_hl_yn",0
"440070001014001","tot_a18p_hl_y",0
"440070001014001","tot_a18p_hl_n",0
"440070001014001","tot_a18p_r1p_all_hl_n",0
"440070001014001","tot_a18p_r1_w_hl_n",0
"440070001014001","tot_a18p_r1_b_hl_n",0
"440070001014001","tot_a18p_r1_na_hl_n",0
"440070001014001","tot_a18p_r1_a_hl_n",0
"440070001014001","tot_a18p_r1_pi_hl_n",0
"440070001014001","tot_a18p_r1_o_hl_n",0
"440070001014001","tot_a18p_r2p_all_hl_n",0
"440070001024042","tot_a0p",44
"440070001024042","tot_a0p_r1_all",0
"440070001024042","tot_a0p_r1_w",0
